date,weekday,visitors,0001_salesVol,0002_salesVol,0003_salesVol,0004_salesVol,0005_salesVol,0006_salesVol,0007_salesVol,0008_salesVol,0009_salesVol,0010_salesVol,date,averagetemp,lowesttemp,highesttemp
20210601,1,3006,0.0,0.0,0.0,0.0,0.0,537.0,525.0,590.0,0.0,0.0,2021-06-01,20.2,15.9,23.9
20210602,2,3179,0.0,0.0,0.0,0.0,0.0,589.0,490.0,495.0,0.0,0.0,2021-06-02,23.2,16.6,29.7
20210603,3,3502,0.0,0.0,0.0,0.0,0.0,573.0,536.0,543.0,0.0,0.0,2021-06-03,19.1,14.6,22.7
20210604,4,3702,0.0,0.0,0.0,0.0,0.0,610.0,621.0,499.0,0.0,0.0,2021-06-04,18.5,13.3,23.6
20210605,5,3566,0.0,0.0,0.0,0.0,0.0,483.0,701.0,437.0,0.0,0.0,2021-06-05,20.8,17.0,25.7
20210606,6,2837,0.0,0.0,0.0,0.0,0.0,437.0,499.0,428.0,0.0,0.0,2021-06-06,23.0,18.4,28.2
20210607,0,3422,0.0,0.0,0.0,0.0,0.0,568.0,657.0,521.0,0.0,0.0,2021-06-07,21.1,19.4,24.0
20210608,1,3546,0.0,0.0,0.0,0.0,0.0,595.0,691.0,487.0,0.0,0.0,2021-06-08,23.6,18.8,29.5
20210609,2,3558,0.0,0.0,0.0,0.0,0.0,615.0,614.0,482.0,0.0,0.0,2021-06-09,25.8,19.5,31.6
20210610,3,3754,0.0,0.0,0.0,0.0,0.0,671.0,590.0,477.0,0.0,0.0,2021-06-10,24.9,20.5,29.8
20210611,4,3114,0.0,0.0,0.0,0.0,0.0,574.0,665.0,491.0,0.0,0.0,2021-06-11,21.5,19.9,24.4
20210612,5,2482,0.0,0.0,0.0,0.0,0.0,349.0,532.0,483.0,0.0,0.0,2021-06-12,24.2,18.2,30.2
20210613,6,1932,0.0,0.0,0.0,0.0,0.0,0.0,609.0,419.0,0.0,0.0,2021-06-13,24.8,20.9,29.7
20210614,0,3281,0.0,0.0,0.0,0.0,0.0,347.0,683.0,489.0,0.0,0.0,2021-06-14,24.8,18.9,30.2
20210615,1,3290,0.0,0.0,0.0,0.0,0.0,518.0,656.0,522.0,0.0,0.0,2021-06-15,22.5,21.5,25.3
20210616,2,3552,0.0,0.0,0.0,0.0,0.0,528.0,743.0,505.0,0.0,0.0,2021-06-16,24.3,20.3,28.9
